Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Engine_Size,Odometer_Reading,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,Vehicle_Model_Bus,Vehicle_Model_Car,Vehicle_Model_Motorcycle,Vehicle_Model_SUV,Vehicle_Model_Truck,Vehicle_Model_Van,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Type_Automatic,Transmission_Type_Manual,Owner_Type_First,Owner_Type_Second,Owner_Type_Third,Days_Since_Last_Service,Warranty_Expired
46215,1,1,6,2500,17543,21787,8,2,15,2,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,489,1
67261,0,2,8,1000,42837,20925,1,2,12,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,545,1
62166,2,3,2,800,138062,17462,1,1,16,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,708,1
31488,2,3,10,800,74876,6123,1,3,16,1,2,2,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,519,1
58894,2,2,7,800,31551,7899,5,1,10,0,2,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,506,1
36051,2,2,9,800,29134,21598,7,0,14,2,2,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,465,0
36248,2,5,6,1000,130093,8659,2,3,12,0,2,2,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,533,0
71138,0,0,3,1500,76175,9774,6,0,13,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,572,1
50978,2,0,1,800,3073,11122,5,0,11,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,488,1
40622,2,5,10,1000,90079,25653,1,1,17,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,646,1
77026,0,0,5,2000,25259,8661,10,3,16,1,2,2,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,754,0
31968,2,0,1,1000,35299,28709,4,2,10,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,737,1
74433,1,4,10,1500,145679,28275,1,2,19,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,788,0
45688,0,5,9,800,9054,10501,9,1,18,1,2,2,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,587,1
78209,1,0,4,2500,45994,10483,3,2,14,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,551,1
51487,2,5,8,2000,29547,25768,1,3,15,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,639,1
52126,2,0,7,2000,122153,23158,1,3,11,1,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,713,1
49535,2,0,5,1000,31315,18888,5,2,18,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,731,1
61045,2,0,7,800,23865,20161,2,2,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,623,0
60440,1,4,7,2000,38684,13915,6,1,13,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,606,1
73210,1,0,9,800,121122,7325,9,3,15,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,673,1
66445,0,3,5,800,56231,26259,9,1,15,2,2,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,723,1
59388,2,5,4,2000,50472,19286,10,1,18,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,497,0
61888,2,5,5,2500,86279,17761,5,2,19,0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,461,1
45925,0,1,9,800,12824,6647,8,3,14,2,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,542,0
44497,0,5,9,1000,71520,11149,4,2,14,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,747,1
63165,1,0,10,800,91664,20884,8,2,16,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,746,1
45708,1,3,4,2500,34131,5804,1,0,11,1,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,735,1
77500,2,0,5,2000,88644,12252,1,1,19,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,784,0
62600,1,4,5,1500,146131,12901,6,0,16,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,759,0
44832,1,3,9,1000,55962,28590,9,2,15,1,2,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,772,1
57006,0,4,8,2000,10882,24455,7,3,10,0,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,645,1
56550,2,2,6,800,133705,25644,1,3,13,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,480,0
70380,2,4,1,1500,134871,22213,4,1,18,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,550,1
50109,1,2,10,800,36035,29527,4,3,14,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,570,0
61753,0,4,9,1500,68697,21323,7,3,14,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,493,1
61024,2,0,1,2000,56062,29048,3,0,10,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,696,0
42048,1,4,6,800,60898,5543,9,1,14,1,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,774,1
77013,0,4,1,1500,18438,13677,6,0,18,1,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,461,1
34841,1,2,1,1000,146581,8800,7,0,15,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,737,1
65788,1,3,9,2000,28715,5927,8,1,19,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,585,1
61817,0,4,2,1500,2514,23456,1,0,11,2,2,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,781,1
40859,0,0,9,800,74852,11364,5,1,15,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,689,1
32437,2,5,8,800,149899,22516,9,0,18,2,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,749,0
43461,2,1,3,1000,100130,24209,5,3,11,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,696,0
54933,0,5,3,800,126785,26832,3,1,15,0,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,471,1
68652,1,5,8,2500,95998,23120,10,1,16,1,2,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,600,0
38974,1,0,4,1500,30505,23470,2,1,11,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,725,1
66083,0,2,6,1500,42473,9405,3,1,12,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,633,0
56494,0,4,2,1000,17969,19186,10,3,11,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,568,1
63226,0,1,3,1000,95599,15496,3,3,10,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,499,0
79405,0,1,10,2500,49788,19143,8,1,10,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,730,0
40971,2,0,9,1000,95175,22486,4,3,14,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,563,1
79067,2,4,3,800,14634,17944,3,3,12,2,2,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,629,1
40331,2,0,1,1000,34537,11912,6,1,19,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,719,0
39585,2,2,9,1500,116506,29445,5,0,14,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,700,1
40411,2,5,9,1500,7201,14922,2,1,19,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,645,1
73400,0,1,4,800,143722,22268,6,0,17,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,616,1
35346,0,3,1,800,15327,9379,9,2,12,1,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,661,1
45695,0,5,9,1000,53660,23380,8,1,18,2,2,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,688,1
71090,0,0,5,800,112579,27922,9,2,16,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,622,0
65221,0,5,1,1000,123366,7419,10,1,13,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,596,1
63277,1,0,5,1000,113834,12392,8,0,11,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,590,1
57753,1,5,2,800,69622,25525,8,3,13,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,786,1
48894,0,5,5,2000,114101,8276,7,1,13,0,2,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,646,1
76193,0,3,9,800,98733,10490,4,2,12,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,645,0
30845,0,2,1,2500,58024,7713,7,3,15,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,778,0
40760,2,2,8,2000,98842,22769,9,3,12,1,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,494,0
55600,1,2,5,1500,42721,11879,7,0,17,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,501,1
46380,1,0,3,2000,145079,25066,2,1,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,538,1
51248,2,1,6,2500,118666,28672,2,0,14,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,468,0
45427,1,1,9,1000,8602,7245,9,2,15,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,471,0
68744,1,5,7,2500,120218,11252,10,3,17,2,1,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,591,0
34001,1,3,6,2000,139702,6262,8,2,12,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,625,0
43023,0,3,6,2000,46685,9185,2,3,10,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,554,1
46572,0,1,10,2000,99401,11942,9,2,15,2,2,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,575,1
63544,1,4,1,800,123039,15549,10,3,15,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,490,1
49183,0,1,5,2500,35120,18476,8,3,13,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,703,0
68317,0,5,5,2500,40997,27910,2,2,16,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,475,0
36296,1,4,6,2500,114921,9500,7,0,19,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,594,1
34929,2,0,6,2000,111595,13808,6,1,18,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,639,1
32865,1,0,8,2000,85667,21508,3,2,15,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,477,0
51881,1,1,10,2500,53621,22537,6,2,10,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,605,0
47586,0,1,9,2000,56365,12479,5,2,12,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,501,0
39971,1,4,2,800,48752,23934,1,2,17,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,722,0
54099,2,1,8,800,5738,11994,7,0,13,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,580,0
37869,1,3,8,1000,148958,19850,2,0,12,2,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,576,0
62328,0,1,10,1500,94775,12794,4,1,19,1,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,625,1
59174,1,3,10,1000,25358,10093,10,2,19,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,671,1
37109,0,2,2,1500,8367,29963,1,2,11,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,623,1
64605,2,0,7,2500,117210,28903,9,3,15,1,1,2,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,521,1
32618,1,0,8,1000,134211,6861,7,1,13,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,752,1
39780,0,4,10,2500,42050,17754,5,0,15,2,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,497,0
62234,1,2,2,1000,126239,20117,6,3,12,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,587,0
39303,2,3,1,1500,78181,23905,1,3,13,2,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,650,1
67670,2,4,6,800,39924,18733,9,3,15,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,552,0
32357,2,1,5,2500,14696,19164,5,0,13,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,724,1
38494,0,2,8,2500,52922,10744,3,1,14,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,523,0
46752,0,1,4,1500,35982,20305,5,2,18,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,565,0
47174,2,2,8,2000,120685,19102,7,0,12,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,723,0
51239,0,2,5,1000,77785,11508,8,2,15,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,685,1
67696,1,3,4,800,23478,29728,8,0,12,0,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,611,1
72991,1,2,4,2000,128427,29432,7,3,17,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,723,0
61753,1,0,9,1000,126401,23864,4,0,18,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,558,0
35037,0,1,1,2000,40455,25602,10,3,10,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,593,0
78114,0,4,2,1000,122659,22704,10,0,14,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,521,0
39297,2,5,5,800,82783,22782,10,3,12,1,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,535,0
60225,0,2,10,2000,20177,15880,4,2,15,1,2,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,502,1
76740,2,5,1,1500,33537,5898,6,1,19,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,651,1
71952,2,3,10,800,67069,19758,3,3,18,0,2,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,455,0
53585,1,0,3,2500,4716,19416,2,1,11,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,460,1
65337,2,2,1,1000,61391,21215,10,2,15,2,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,781,0
55552,2,0,8,800,94966,9459,10,3,11,1,2,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,515,0
46910,2,5,1,1000,128852,12801,8,1,12,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,709,1
60806,0,3,9,1500,9898,15959,8,2,17,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,529,1
50950,2,0,3,2500,39116,11564,4,1,19,2,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,602,1
63912,0,5,5,1500,136246,22471,4,1,17,0,2,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,741,1
56780,1,5,8,1500,12970,24409,1,0,19,2,2,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,756,0
79610,2,4,2,800,132715,22475,4,2,17,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,763,1
67394,0,4,7,1000,83080,23660,9,1,13,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,595,1
63165,0,0,4,800,61722,22846,9,0,11,0,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,763,0
30514,2,5,8,1000,8243,17263,6,1,14,2,2,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,674,1
50105,0,0,2,2500,17610,5867,4,0,12,0,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,547,1
69055,0,1,9,800,56578,12337,5,3,15,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,483,1
57968,2,0,8,2000,109582,13963,7,1,16,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,457,1
35221,2,2,3,1500,10601,13903,6,3,17,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,480,0
